Clapeyron Estimator,,
[method = saturation_p_rhol],,
T,out_pre,out_rho
95.282,20471,27705.8506
97.91,27506,27480.82277
100.54,36350,27252.67821
103.17,47310,27022.04026
105.8,60718,26788.90893
108.42,76926,26552.03753
111.05,96306,26312.0494
113.68,119250,26068.32119
116.31,146160,25820.85291
118.94,177450,25570.2679
121.57,213570,25314.69613
124.2,254950,25055.38427
126.82,302040,24791.08566
129.45,355310,24521.80027
132.08,415230,24247.52812
134.71,482280,23967.64586
137.34,556940,23681.53014
139.97,639710,23388.55762
142.59,731080,23088.10494
145.22,831580,22780.17212
147.85,941720,22464.1358
150.48,1062000,22138.12595
153.11,1193100,21801.51922
155.74,1335400,21453.06892
158.37,1489500,21091.52836
160.99,1656100,20715.0275
163.62,1835700,20321.6963
166.25,2028900,19907.79469
168.88,2236500,19470.20594
171.51,2459000,19004.56663
